Enter text here, select options and click the "Remove Duplicate Lines" button from above.
Duplicate text removal is only between content on new lines and duplicate text within the same line will not be removed.
The line order/sorting will not be affected other than subsequent duplicate lines being deleted.
Check the "Case sensitive." checkbox for case sensitive matching of duplicate line removal.
Check the "Remove empty lines." checkbox to remove/delete all blank/empty lines.
Check the "Display removed." checkbox to save removed lines. Lines are prefixed with removal information for reference.

Example:
Click the "Remove Duplicate Lines" button and watch these duplicate lines become one.

Note: For files too large to successfully load into this text field, use the "Big File Tool" link below.
Privacy of Daidversion,idJDM,idBN,valeurComparaison,repJDM,sensBN,defBN
2,324347,00046655n,1750,bombe à retardement>situation@fr,WIKT:FR:bombe_à_retardement
2,248720,00014468n,2149,cambuse>marine@fr,WIKI:FR:cambuse
2,248722,00014468n,686,cambuse>cantine@fr,WIKI:FR:cambuse
2,248721,00045064n,836,cambuse>logis@fr,WIKI:FR:hutte
2,270915,03496846n,1025,Dracula>roman@fr,WIKI:FR:Le_Cauchemar_de_Dracula
2,270915,03757474n,1038,Dracula>roman@fr,WIKI:FR:Dracula_(téléfilm,_2006)
2,270915,03141495n,1018,Dracula>roman@fr,WIKIDATA:FR:Dracula
2,270914,04754969n,564,Dracula>personnage@fr,WIKI:FR:Dracula_(bande_dessinée)
2,270915,03602399n,1055,Dracula>roman@fr,WIKI:FR:Dracula,_entre_l'amour_et_la_mort
2,270915,00167873n,1024,Dracula>roman@fr,WIKI:FR:Dracula_(film,_1979)
2,270915,02737700n,1017,Dracula>roman@fr,WIKI:FR:Dracula_(film,_1992)
2,270915,03753554n,1063,Dracula>roman@fr,WIKIDATA:FR:comte_Dracula
2,270914,04833216n,544,Dracula>personnage@fr,WIKI:FR:Dracula_(bande_dessinée,_Croci)
2,270914,00028538n,682,Dracula>personnage@fr,WIKI:FR:Dracula
2,270915,00028538n,1300,Dracula>roman@fr,WIKI:FR:Dracula
2,2585373,00059057n,722,opale>minéral@fr,WIKI:FR:opale
2,223828,00002187n,865,atmosphère>air@fr,WIKI:FR:Atmosphere_(groupe)
2,223828,00002189n,1592,atmosphère>air@fr,WIKT:FR:atmosphère
2,223828,00003263n,1537,atmosphère>air@fr,OMWIKI:FR:ambiance
2,223829,00003263n,1443,atmosphère>ambiance@fr,OMWIKI:FR:ambiance
2,223830,00006803n,882,atmosphère>unité de mesure@fr,WIKI:FR:atmosphère_(unité)
2,223828,00002185n,1061,atmosphère>air@fr,WIKI:FR:atmosphère_terrestre
2,223828,04961844n,841,atmosphère>air@fr,WIKI:FR:Atmosphère_(magazine)
2,213343,00040492n,2580,bar>débit de boissons@fr,WIKI:FR:pub_(établissement)
2,213346,00040492n,1445,bar>comptoir@fr,WIKI:FR:pub_(établissement)
2,213346,04915663n,1092,bar>comptoir@fr,WIKI:FR:Bar_(meuble)
2,213343,00076095n,2637,bar>débit de boissons@fr,WIKI:FR:taverne_(établissement)
2,213343,00008462n,2127,bar>débit de boissons@fr,WIKI:FR:bar_(établissement)
2,213344,17114328n,703,bar>poisson@fr,WIKI:FR:Bar_(poisson)
2,213345,00008468n,968,bar>pression@fr,WIKI:FR:bar_(unité)
2,213343,00013679n,580,bar>débit de boissons@fr,WIKI:FR:buffet_(meuble)
2,213346,00013679n,845,bar>comptoir@fr,WIKI:FR:buffet_(meuble)
2,213346,00008463n,1278,bar>comptoir@fr,OMWIKI:FR:comptoir
2,268027,04713110n,562,sacristain>pâtisserie@fr,WIKI:FR:Sacristain_(pâtisserie)
2,268026,00068758n,2678,sacristain>religion@fr,WIKI:FR:sacristain
2,2333114,00030298n,806,élégie>poésie@fr,WIKI:FR:élégie
2,218760,15773479n,874,tonneau>marine@fr,WIKI:FR:tonnage
2,218759,00028893n,762,tonneau>barrique@fr,WIKI:FR:Fût_(récipient)
2,218761,04905546n,1579,tonneau>accident@fr,WIKI:FR:Tonneau_(automobile)
2,218761,00277570n,2014,tonneau>accident@fr,WIKI:FR:Tonneau_(accident)
2,218759,00008691n,2487,tonneau>barrique@fr,WIKI:FR:tonneau_(récipient)
2,218760,04822906n,906,tonneau>marine@fr,WIKI:FR:Tonneau_(formules)
